X,Y,GT,K,TH,U,CT,U_K,TH_K,U_TH,MDT,B02,B03,B04,B06,B07,TARGET
637226.1800000003,7976177.07,0.050405,1.42,20.91,5.48,12.26,3.41,15.98,0.2,1342.39,9710.0,9798.0,10780.0,18055.0,14131.0,2
637351.1800000003,7979427.079999999,0.016037,1.09,5.1,3.29,5.34,3.83,7.83,0.57,1414.66,10055.0,9890.0,10430.0,20006.0,16546.0,3
639226.1800000003,7982614.579999999,0.033471,1.91,9.05,2.34,7.47,1.28,5.01,0.28,1390.08,8946.0,8609.0,8822.0,15517.0,11707.0,5
636163.6800000003,7970614.559999998,0.073504,1.03,26.32,8.32,14.17,6.59,19.43,0.32,1256.72,9723.0,9927.0,10878.0,19955.0,14526.0,2
638976.1800000003,7978302.0699999975,0.017948,0.25,4.88,1.69,3.06,8.949999999999998,34.95,0.24,1418.27,11624.0,10914.0,11591.0,19693.0,17174.0,6
634601.1800000003,7971864.570000001,0.055274000000000004,0.81,5.21,3.09,5.07,2.58,5.1,0.53,1284.61,9043.0,8755.0,9188.0,15600.0,12262.0,6
638851.1800000003,7982052.08,0.022276,1.32,6.53,1.67,4.76,1.48,4.86,0.32,1425.62,8671.0,8324.0,8222.0,15081.0,11193.0,5
636538.68,7980052.08,0.00147,0.61,4.59,2.03,4.27,5.33,16.6,0.33,1466.01,8946.0,8681.0,9126.0,16985.0,12420.0,3
637226.1800000003,7978489.58,0.028709,0.79,9.53,4.05,6.93,5.33,14.69,0.37,1386.57,9065.0,8970.0,9428.0,17090.0,12490.0,3
639663.6800000003,7982302.08,0.025881,0.45,5.43,2.04,4.07,4.47,11.84,0.36,1357.32,9256.0,9169.0,9625.0,16563.0,13557.0,5
637538.68,7977989.57,0.007913,1.15,19.94,5.0,10.3,3.69,16.76,0.23,1363.81,9419.0,9466.0,10048.0,18154.0,13574.0,2
637476.1800000003,7980552.08,0.028664999999999996,0.31,7.1,1.77,3.57,8.52,40.74,0.24,1425.34,8899.0,8367.0,8583.0,16852.0,13514.0,5
637413.6800000003,7980802.079999999,0.021475,0.45,5.0,0.94,2.73,5.41,17.17,0.34,1409.86,9465.0,8777.0,8952.0,16622.0,13493.0,5
