X,Y,MISS_DUMMY,MISS_MLR,MISS_DT,MISS_GNB,MISS_KNN,MISS_SVM,MISS_RF,MISS_XGB,MISS_MLP
638976.180,7980489.580,0,0,0,0,0,0,0,0,0
638413.680,7981114.580,0,0,0,0,0,0,0,0,0
636663.680,7979114.580,0,0,0,0,0,0,0,0,0
637351.180,7976614.570,0,0,0,0,0,0,0,0,0
638913.680,7978802.080,0,0,0,0,0,0,0,0,0
638726.180,7981364.580,0,0,0,0,0,0,0,0,0
637851.180,7971989.570,0,0,0,0,0,0,0,0,0
640038.690,7981177.080,0,0,0,0,0,0,0,0,0
639788.680,7980614.580,0,0,0,0,0,0,0,0,0
638288.680,7976427.070,0,0,0,0,0,0,0,0,0
636726.180,7978739.580,0,0,0,0,0,0,0,0,0
636288.680,7970552.060,0,0,0,0,0,0,0,0,0
637163.680,7977989.570,0,0,0,0,0,0,0,0,0
636913.680,7974364.570,0,0,0,0,0,0,0,0,0
636351.180,7971427.060,0,0,0,0,0,0,0,0,0
636476.180,7971739.570,0,0,0,0,0,0,0,0,0
639726.180,7980739.580,0,0,0,0,0,0,0,0,0
636976.180,7978802.080,0,0,0,0,0,0,0,0,0
638351.180,7974739.570,0,0,0,0,0,0,0,0,0
636476.180,7978927.080,0,0,0,0,0,0,0,0,0
638538.680,7975864.570,0,0,0,0,0,0,0,0,0
638476.180,7978802.080,0,0,0,0,0,0,0,0,0
636351.180,7976364.570,0,0,0,0,0,0,0,0,0
636351.180,7970802.060,0,0,0,0,0,0,0,0,0
639851.180,7980114.580,0,0,0,0,0,0,0,0,0
635601.180,7974677.070,0,0,0,0,0,0,0,0,0
636913.680,7978927.080,0,0,0,0,0,0,0,0,0
636476.180,7970302.060,0,0,0,0,0,0,0,0,0
637476.180,7981927.080,0,0,0,0,0,0,0,0,0
635976.180,7979302.080,0,0,0,0,0,0,0,0,0
637726.180,7982239.580,0,0,0,0,0,0,0,0,0
638726.180,7978364.580,0,0,0,0,0,0,0,0,0
637663.680,7981677.080,0,0,0,0,0,0,0,0,0
637351.180,7980239.580,0,0,0,0,0,0,0,0,0
638101.180,7976864.570,0,0,0,0,0,0,0,0,0
639101.180,7982864.580,0,0,0,0,0,0,0,0,0
637788.680,7978302.080,0,0,0,0,0,0,0,0,0
635851.180,7977302.070,0,0,0,0,0,0,0,0,0
636163.680,7970614.560,0,0,0,0,0,0,0,0,0
636538.680,7978927.080,0,0,0,0,0,0,0,0,0
635351.180,7969489.560,0,0,0,0,0,0,0,0,0
636101.180,7971239.560,0,0,0,0,0,0,0,0,0
637101.180,7978302.080,0,0,0,0,0,0,0,0,0
639226.180,7972927.070,0,0,0,0,0,0,0,0,0
636913.680,7978677.080,0,0,0,0,0,0,0,0,0
639038.680,7978239.570,0,0,0,0,0,0,0,0,0
638226.180,7977052.070,0,0,0,0,0,0,0,0,0
637101.180,7979802.080,0,0,0,0,0,0,0,0,0
638976.180,7978302.070,0,0,0,0,0,0,0,0,0
639726.180,7983052.080,0,0,0,0,0,0,0,0,0
638663.680,7981552.080,0,0,0,0,0,0,0,0,0
637663.680,7980864.580,0,0,0,0,0,0,0,0,0
636038.680,7974239.570,0,0,0,0,0,0,0,0,0
634163.670,7971552.060,0,0,0,0,0,0,0,0,0
636476.180,7970864.560,0,0,0,0,0,0,0,0,0
636476.180,7971364.560,0,0,0,0,0,0,0,0,0
638476.180,7979864.580,0,0,0,0,0,0,0,0,0
638663.680,7971427.060,0,0,0,0,0,0,0,0,0
637163.680,7976864.570,0,0,0,0,0,0,0,0,0
636288.680,7976927.070,0,0,0,0,0,0,0,0,0
638038.680,7976177.070,0,0,0,0,0,0,0,0,0
638851.180,7978239.570,0,0,0,0,0,0,0,0,0
637788.680,7972302.070,0,0,0,0,0,0,0,0,0
639913.680,7980489.580,0,0,0,0,0,0,0,0,0
635476.180,7971614.560,0,0,0,0,0,0,0,0,0
637601.180,7974802.070,0,0,0,0,0,0,0,0,0
636413.680,7973677.070,0,0,0,0,0,0,0,0,0
637163.680,7976739.570,0,0,0,0,0,0,0,0,0
636976.180,7976864.570,0,0,0,0,0,0,0,0,0
639101.180,7978427.080,0,0,0,0,0,0,0,0,0
636163.680,7980114.580,0,0,0,0,0,0,0,0,0
638788.680,7981739.580,0,0,0,0,0,0,0,0,0
637726.180,7977364.570,0,0,0,0,0,0,0,0,0
636788.680,7979739.580,0,0,0,0,0,0,0,0,0
638163.680,7978239.570,0,0,0,0,0,0,0,0,0
635663.680,7969739.560,0,0,0,0,0,0,0,0,0
637788.680,7978239.570,0,0,0,0,0,0,0,0,0
634476.180,7970864.560,0,0,0,0,0,0,0,0,0
636101.180,7973927.070,0,0,0,0,0,0,0,0,0
639976.190,7981052.080,0,0,0,0,0,0,0,0,0
637351.180,7979552.080,0,0,0,0,0,0,0,0,0
637663.680,7974489.570,0,0,0,0,0,0,0,0,0
639726.180,7982614.580,0,0,0,0,0,0,0,0,0
636476.180,7970802.060,0,0,0,0,0,0,0,0,0
639226.180,7977989.570,0,0,0,0,0,0,0,0,0
638101.180,7978302.080,0,0,0,0,0,0,0,0,0
640038.690,7979989.580,0,0,0,0,0,0,0,0,0
636538.680,7971177.060,0,0,0,0,0,0,0,0,0
639101.180,7980802.080,0,0,0,0,0,0,0,0,0
639288.680,7982364.580,0,0,0,0,0,0,0,0,0
638226.180,7982552.080,0,0,0,0,0,0,0,0,0
639351.180,7982802.080,0,0,0,0,0,0,0,0,0
637038.680,7978989.580,0,0,0,0,0,0,0,0,0
635726.180,7978052.070,0,0,0,0,0,0,0,0,0
636538.680,7970989.560,0,0,0,0,0,0,0,0,0
636851.180,7979489.580,0,0,0,0,0,0,0,0,0
635788.680,7979864.580,0,0,0,0,0,0,0,0,0
638163.680,7976552.070,0,0,0,0,0,0,0,0,0
637101.180,7975802.070,0,0,0,0,0,0,0,0,0
636288.680,7972177.070,0,0,0,0,0,0,0,0,0
635226.180,7969864.560,0,0,0,0,0,0,0,0,0
637413.680,7976739.570,0,0,0,0,0,0,0,0,0
637788.680,7976927.070,0,0,0,0,0,0,0,0,0
635788.680,7978552.080,0,0,0,0,0,0,0,0,0
639226.180,7978052.070,0,0,0,0,0,0,0,0,0
638476.180,7977114.570,0,0,0,0,0,0,0,0,0
636476.180,7979552.080,0,0,0,0,0,0,0,0,0
636913.680,7979489.580,0,0,0,0,0,0,0,0,0
637038.680,7978552.080,0,0,0,0,0,0,0,0,0
636413.680,7971802.070,0,0,0,0,0,0,0,0,0
638663.680,7982302.080,0,0,0,0,0,0,0,0,0
639913.690,7982364.580,0,0,0,0,0,0,0,0,0
637601.180,7982239.580,0,0,0,0,0,0,0,0,0
638976.180,7978489.580,0,0,0,0,0,0,0,0,0
638726.180,7980177.080,0,0,0,0,0,0,0,0,0
636288.680,7970677.060,0,0,0,0,0,0,0,0,0
636163.680,7977239.570,0,0,0,0,0,0,0,0,0
639226.180,7982927.080,0,0,0,0,0,0,0,0,0
638163.680,7976239.570,0,0,0,0,0,0,0,0,0
636351.180,7970552.060,0,0,0,0,0,0,0,0,0
634538.680,7971864.570,0,0,0,0,0,0,0,0,0
635163.680,7971989.570,0,0,0,0,0,0,0,0,0
639038.680,7978114.570,0,0,0,0,0,0,0,0,0
639226.180,7978177.070,0,0,0,0,0,0,0,0,0
638851.180,7973239.570,0,0,0,0,0,0,0,0,0
635413.680,7970489.560,0,0,0,0,0,0,0,0,0
637788.680,7981239.580,0,0,0,0,0,0,0,0,0
634851.180,7970552.060,0,0,0,0,0,0,0,0,0
638538.680,7975989.570,0,0,0,0,0,0,0,0,0
636226.180,7970552.060,0,0,0,0,0,0,0,0,0
636976.180,7978677.080,0,0,0,0,0,0,0,0,0
638788.680,7978614.580,0,0,0,0,0,0,0,0,0
636038.680,7974052.070,0,0,0,0,0,0,0,0,0
636476.180,7969927.060,0,0,0,0,0,0,0,0,0
638413.680,7975302.070,0,0,0,0,0,0,0,0,0
636663.680,7979552.080,0,0,0,0,0,0,0,0,0
638288.680,7976177.070,0,0,0,0,0,0,0,0,0
639288.680,7973239.570,0,0,0,0,0,0,0,0,0
637851.180,7974864.570,0,0,0,0,0,0,0,0,0
639726.180,7983114.580,0,0,0,0,0,0,0,0,0
638163.680,7976677.070,0,0,0,0,0,0,0,0,0
638538.680,7977302.070,0,0,0,0,0,0,0,0,0
637351.180,7974302.070,0,0,0,0,0,0,0,0,0
634413.680,7971927.070,0,0,0,0,0,0,0,0,0
638413.680,7974552.070,0,0,0,0,0,0,0,0,0
639038.680,7982489.580,0,0,0,0,0,0,0,0,0
634226.180,7971927.070,0,0,0,0,0,0,0,0,0
637788.680,7978864.580,0,0,0,0,0,0,0,0,0
637851.180,7977177.070,0,0,0,0,0,0,0,0,0
640038.690,7980489.580,0,0,0,0,0,0,0,0,0
637726.180,7981239.580,0,0,0,0,0,0,0,0,0
637163.680,7978364.580,0,0,0,0,0,0,0,0,0
636788.680,7978614.580,0,0,0,0,0,0,0,0,0
639038.680,7981177.080,0,0,0,0,0,0,0,0,0
638601.180,7982427.080,0,0,0,0,0,0,0,0,0
638788.680,7982114.580,0,0,0,0,0,0,0,0,0
636226.180,7974364.570,0,0,0,0,0,0,0,0,0
639288.680,7981052.080,0,0,0,0,0,0,0,0,0
