X,Y,ENTROPY
637663.680,7976614.570,0.402
637976.180,7981489.580,1.740
634976.180,7970552.060,0.906
638726.180,7982302.080,0.971
636538.680,7976364.570,0.194
639663.680,7980927.080,1.261
636913.680,7976427.070,0.632
637788.680,7972677.070,1.274
638976.180,7973864.570,1.250
639913.690,7982927.080,1.011
637601.180,7978302.080,0.134
638163.680,7978052.070,1.003
635851.180,7970927.060,0.231
638663.680,7977552.070,1.539
636976.180,7971552.060,1.203
637538.680,7978677.080,0.374
638663.680,7982927.080,1.493
638226.180,7974239.570,1.439
636601.180,7973239.570,0.673
637163.680,7978052.070,0.304
638476.180,7971552.060,0.954
637601.180,7974114.570,1.003
635726.180,7976864.570,1.461
639351.180,7980177.080,0.847
635726.180,7969677.060,0.479
636101.180,7978927.080,0.964
637038.680,7973489.570,0.344
639101.180,7973677.070,1.117
634351.180,7970739.560,1.197
638351.180,7977989.570,1.187
638538.680,7978239.570,1.121
639351.180,7982989.580,0.757
636788.680,7974489.570,0.837
635851.180,7977552.070,0.895
638351.180,7982927.080,1.345
637913.680,7972552.070,1.498
639101.180,7973989.570,0.881
639476.180,7979677.080,0.648
636163.680,7972614.570,0.682
638101.180,7977177.070,0.916
637538.680,7979739.580,1.559
636226.180,7969802.060,1.140
637538.680,7973302.070,1.299
635913.680,7978114.580,1.525
634601.180,7971864.570,0.880
637788.680,7983114.580,1.518
638976.180,7979302.080,1.388
638913.680,7973052.070,1.238
635226.180,7970677.060,1.025
639101.180,7982614.580,0.091
637851.180,7978114.570,1.198
637351.180,7972177.070,1.414
638913.680,7978114.570,1.574
634601.180,7970927.060,1.128
635226.180,7969239.560,0.680
638351.180,7972427.070,0.376
635601.180,7969677.060,0.287
636601.180,7978114.570,1.312
638726.180,7972802.070,1.107
637976.180,7971614.560,0.556
640038.690,7983114.580,1.163
636601.180,7978489.580,0.678
638788.680,7983177.080,1.221
637476.180,7974614.570,0.139
638288.680,7980427.080,0.888
637351.180,7980114.580,0.228
637101.180,7974489.570,0.545
638351.180,7980052.080,0.329
638913.680,7981239.580,0.789
636788.680,7974739.570,0.781
634913.680,7969427.060,1.059
638913.680,7975552.070,1.298
639663.680,7982114.580,1.195
639851.180,7981052.080,0.960
637226.180,7977489.570,0.433
637726.180,7973114.570,1.142
636663.680,7977739.570,0.564
637976.180,7973927.070,1.578
634913.680,7969302.060,0.645
637413.680,7979677.080,0.841
636726.180,7973802.070,0.887
